portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,2721245,ETC-EUR,SELL,2021-05-08T18:12:12.845Z,0.25,ETC,105,0.13125,26.11875,EUR
default,2750784,ETC-EUR,BUY,2021-05-09T04:16:06.839Z,0.25,ETC,95,0.11875,-23.86875,EUR
default,2819731,ETC-EUR,BUY,2021-05-10T20:30:07.183Z,0.24,ETC,86,0.1032,-20.7432,EUR
default,13747392,ETH-BTC,BUY,2021-02-19T21:11:35.685Z,0.01116982,ETH,0.035,1.95E-06,-0.000392898,BTC
default,16539470,ETH-EUR,SELL,2021-03-19T12:00:07.184Z,0.01116982,ETH,1530,0.085449123,17.00437548,EUR
default,37460361,BTC-EUR,BUY,2021-02-26T06:25:35.716Z,0.0002,BTC,38000,0.038,-7.638,EUR
default,37460366,BTC-EUR,BUY,2021-02-26T06:25:36.433Z,0.00003161,BTC,38000,0.0060059,-1.2071859,EUR
default,38668742,BTC-EUR,BUY,2021-03-15T12:21:21.979Z,0.00107469,BTC,46293.28,0.248754625,-49.99967971,EUR
default,38791887,BTC-EUR,SELL,2021-03-17T06:23:45.433Z,0.00150363,BTC,47149.68,0.354478367,70.54119497,EUR
default,38799858,BTC-EUR,BUY,2021-03-17T09:39:18.549Z,0.00066396,BTC,46399.89,0.154038355,-30.96170932,EUR
default,38866164,BTC-EUR,SELL,2021-03-18T09:01:32.856Z,0.00066396,BTC,48641.93,0.161481479,32.13481436,EUR
